episode,reward,mttd,mttr,fpr,csr,compromised
1,-22.11,10,68,0.8095,1,1
2,-19.66,4,200,3.6667,0,8
3,-15.89,6,35,1.1600,1,2
4,-2.95,15,16,1.4444,1,1
5,4.68,6,16,0.7500,1,5
6,-11.22,13,33,1.9091,1,4
7,-25.09,9,50,1.1333,1,1
8,-6.41,6,21,1.4615,1,3
9,-62.83,6,83,1.4800,1,1
10,-32.27,8,51,1.3667,1,1
11,-4.69,8,28,0.9412,1,5
12,-5.39,11,25,1.7778,1,3
13,-33.90,7,36,1.9091,1,3
14,-22.24,23,40,1.3182,1,2
15,-4.01,21,24,1.0000,1,2
16,-14.72,20,35,1.1176,1,2
17,-49.51,10,84,0.9831,1,1
18,-6.06,7,30,1.0625,1,1
19,-16.76,6,37,0.8148,1,3
20,-3.97,8,15,1.3333,1,2
21,2.55,10,21,0.6364,1,1
22,8.45,9,19,0.2000,1,4
23,-15.94,9,200,0.6667,0,5
24,-18.65,9,200,0.7857,0,5
25,-12.84,11,20,2.5556,1,3
26,-4.72,6,16,1.6250,1,4
27,-25.21,7,200,1.3077,0,5
28,-23.13,12,39,1.5000,1,2
29,-12.01,9,66,0.6750,1,1
30,-24.82,15,42,1.3913,1,1
31,-16.82,6,43,1.0500,1,2
32,-57.25,7,85,1.1897,1,1
33,-7.89,8,24,2.1111,1,5
34,-3.15,7,21,1.0000,1,3
35,-39.12,11,69,1.1282,1,2
36,-7.62,10,38,0.9000,1,5
37,-0.72,6,16,1.2500,1,2
38,-22.68,14,54,1.1000,1,1
39,-8.37,8,29,1.3846,1,3
40,-0.32,7,35,0.4091,1,1
41,-56.39,10,72,1.5111,1,1
42,-7.84,7,35,1.0000,1,3
43,-40.54,14,74,0.9574,1,1
44,-1.21,5,15,1.7143,1,3
45,-0.67,9,20,0.9091,1,2
46,-17.66,14,33,1.1818,1,1
47,-13.51,13,49,0.7667,1,2
48,-32.71,16,73,0.8302,1,4
49,-11.05,7,33,1.5000,1,1
50,-15.17,7,200,0.6667,0,6
51,-7.94,8,14,2.7143,1,1
52,-4.32,5,38,0.7600,1,1
53,-58.50,15,72,1.6744,1,1
54,-9.33,6,34,1.0588,1,2
55,-8.94,7,35,1.0000,1,1
56,-35.84,28,58,1.5000,1,2
57,-27.25,24,42,1.5000,1,2
58,-44.58,10,43,2.0357,1,1
59,-20.69,12,55,1.1379,1,2
60,-22.87,10,37,1.7778,1,4
61,-11.09,4,32,0.9130,1,4
62,-8.18,6,20,2.3750,1,4
63,4.66,7,23,0.3684,1,3
64,-30.59,41,48,1.3846,1,1
65,-26.04,14,65,0.9730,1,2
66,-13.06,8,200,0.2667,0,4
67,-23.58,9,41,1.4348,1,4
68,-27.62,16,65,0.8125,1,2
69,-29.93,15,200,1.9091,0,6
70,-12.53,5,200,1.0000,0,9
71,-11.95,18,49,0.5806,1,1
72,-11.03,9,35,2.0000,1,1
73,-14.07,5,19,2.7500,1,2
74,-9.06,7,32,1.2353,1,2
75,-13.87,4,52,0.6842,1,1
76,-19.25,13,43,1.0667,1,1
77,-25.84,8,50,1.3077,1,3
78,-20.83,5,56,1.0588,1,3
79,-31.53,5,62,1.2571,1,2
80,-15.54,6,52,0.6571,1,2
81,0.03,11,14,1.1667,1,1
82,-4.52,13,21,1.2500,1,3
83,-6.56,10,27,1.2000,1,4
84,1.02,9,13,1.1667,1,1
85,-5.24,8,41,0.8571,1,3
86,-49.86,22,82,1.4444,1,2
87,-20.06,11,38,1.8000,1,2
88,-0.23,7,11,1.6000,1,3
89,-16.54,9,33,1.4444,1,5
90,-13.58,5,45,0.9600,1,1
91,-28.82,36,44,2.0556,1,1
92,-12.34,25,31,0.8846,1,2
93,-18.65,11,200,0.6667,0,6
94,-77.85,12,147,0.9101,1,1
95,-18.26,10,38,1.0455,1,3
96,2.05,7,18,1.0000,1,4
97,-24.51,7,38,1.7500,1,5
98,-19.56,11,41,1.1154,1,1
99,2.83,6,20,0.8333,1,2
100,-40.02,9,51,1.9167,1,2
101,-19.73,8,43,1.1290,1,1
102,-16.33,14,43,1.1600,1,2
103,-13.95,14,37,1.3684,1,2
104,-20.51,6,58,1.0323,1,3
105,-11.14,12,39,0.9524,1,2
106,-32.45,6,60,1.3750,1,2
107,-22.91,4,200,0.8696,0,6
108,-31.95,6,44,1.3750,1,2
109,-3.08,12,30,0.7857,1,2
110,-12.13,10,55,0.6757,1,3
111,-14.08,8,35,1.5333,1,4
112,3.20,5,22,0.4667,1,1
113,-35.73,17,52,1.3871,1,4
114,-39.44,9,67,1.0698,1,1
115,-16.91,7,200,2.0000,0,5
116,-41.73,10,73,1.0426,1,1
117,1.93,9,33,0.6000,1,1
118,-3.50,4,24,0.8125,1,1
119,-23.39,11,49,1.2069,1,6
120,3.16,7,14,0.5000,1,3
121,-65.14,7,100,1.2787,1,1
122,-32.97,6,59,1.4000,1,2
123,-84.15,4,143,0.9890,1,1
124,1.33,6,15,1.1667,1,2
125,-20.64,8,63,0.8718,1,2
126,-31.27,32,84,0.8519,1,1
127,-4.09,10,26,1.2000,1,3
128,-21.33,7,42,1.3077,1,6
129,-38.05,10,63,1.2000,1,4
130,-4.66,9,18,1.5000,1,2
131,-21.45,11,51,1.2857,1,3
132,-5.95,7,15,1.8889,1,3
133,-19.02,14,200,1.1538,0,7
134,-34.65,16,75,1.1579,1,3
135,-22.73,5,64,1.1613,1,2
136,-8.24,7,39,0.5806,1,5
137,-15.94,13,31,2.4167,1,1
