episode,reward,mttd,mttr,fpr,csr,compromised
1,-161.77,5,42,6.2593,1,1
2,-119.28,5,45,4.0312,1,1
3,-105.84,9,25,16.5714,1,1
4,-729.52,17,200,5.8468,0,0
5,-131.95,9,64,3.3902,1,1
6,-26.81,6,34,1.9474,1,1
7,-45.80,6,53,2.2963,1,1
8,-207.53,28,200,1.6515,0,0
9,-101.09,55,95,1.9298,1,1
10,-65.34,8,53,2.3030,1,1
11,-89.98,21,70,2.4878,1,1
12,-23.46,14,30,2.0000,1,1
13,-92.62,12,54,3.5517,1,1
14,-66.22,14,59,1.7174,1,1
15,-153.90,47,120,2.0750,1,1
16,-95.96,13,64,2.6977,1,1
17,-12.07,8,17,2.8750,1,1
18,-327.37,11,200,2.7661,0,0
19,-34.67,7,23,5.3750,1,2
20,-65.37,23,55,2.1714,1,1
21,-44.00,200,200,7.2000,0,6
22,-40.00,200,200,3.0000,0,5
23,-46.86,35,39,2.9500,1,2
24,-93.34,6,63,2.6750,1,1
25,-49.64,29,200,2.2000,0,9
26,-349.32,20,200,2.7891,0,0
27,-406.69,15,200,3.5478,0,0
28,-77.01,19,40,4.0000,1,1
29,-375.25,10,200,2.9104,0,0
30,-340.50,23,200,2.6880,0,0
31,-36.14,7,200,3.8571,0,5
32,-44.75,4,200,2.4118,0,11
33,-319.74,37,200,2.7083,0,0
34,-80.02,32,49,2.9677,1,2
35,-305.29,4,200,2.1489,0,0
36,-52.57,11,49,2.5000,1,1
37,-157.63,14,100,2.4638,1,1
38,-280.52,6,200,2.4915,0,0
39,-322.09,8,200,2.6613,0,0
40,-301.60,14,200,2.1825,0,0
41,-65.07,9,41,3.0000,1,1
42,-32.37,12,200,3.7500,0,4
43,-323.68,11,200,2.6532,0,0
44,-248.99,9,200,1.9098,0,0
45,-236.22,14,200,1.7536,0,0
46,-51.33,10,40,2.6667,1,1
47,-66.73,32,72,2.0250,1,1
48,-101.59,36,87,1.9831,1,1
49,-5.74,15,18,1.4000,1,2
50,-80.15,9,84,1.8958,1,1
51,-24.94,16,200,1.3333,0,7
52,-249.38,19,200,2.1176,0,0
53,-233.50,26,200,1.8819,0,1
54,-17.00,200,200,1.7500,0,5
55,-203.63,5,190,1.8182,1,1
56,-132.62,132,133,1.6854,1,1
57,-56.44,40,200,1.2500,0,5
58,-23.53,8,56,1.1667,1,1
59,-24.12,9,200,3.7500,0,7
60,-103.01,86,149,1.1789,1,1
61,-163.93,9,200,1.3984,0,0
62,-152.00,21,200,1.0857,0,0
63,-140.32,18,200,1.2417,0,1
64,-154.48,42,200,1.2016,0,0
65,-143.37,13,200,1.1176,0,0
66,-113.95,12,200,0.9918,0,1
67,-103.62,40,200,0.8485,0,0
68,-84.11,135,200,0.9022,0,5
69,-47.81,13,81,1.1273,1,1
70,-76.57,9,200,0.5899,0,1
71,-94.43,70,200,0.7519,0,1
72,-81.10,79,200,0.7333,0,1
73,-58.70,39,200,0.5164,0,2
74,-59.52,11,149,0.7614,1,1
75,-9.24,19,200,0.2857,0,3
76,-37.60,61,186,0.3902,1,1
77,-54.15,40,200,0.4318,0,1
78,-48.04,42,200,0.3929,0,0
79,-50.82,146,200,0.4138,0,3
80,-74.01,8,200,0.6581,0,1
81,-52.53,51,200,0.3806,0,1
82,-48.95,66,200,0.3478,0,0
83,-46.29,120,200,0.4417,0,2
84,-31.72,43,200,0.2344,0,2
85,-31.83,57,200,0.3228,0,0
86,-29.47,58,200,0.3333,0,2
87,-29.74,14,200,0.3008,0,1
88,-3.22,40,132,0.1786,1,1
89,-10.00,200,200,0.5000,0,8
90,-18.24,38,159,0.3235,1,1
91,-5.02,54,121,0.0909,1,1
92,-42.12,153,200,0.4889,0,7
93,-46.38,10,200,0.3358,0,0
94,-37.93,62,200,0.2901,0,0
95,-29.63,46,175,0.2941,1,1
96,-24.61,102,200,0.2764,0,3
97,-32.49,146,200,0.2720,0,4
98,-25.87,21,200,0.2815,0,1
99,-34.43,21,200,0.3413,0,2
100,-25.84,101,200,0.2213,0,2
101,-39.14,85,200,0.3661,0,1
102,-25.00,200,200,0.2231,0,3
103,-36.32,112,200,0.4286,0,2
104,-18.00,200,200,0.1638,0,3
105,-26.51,148,200,0.2748,0,3
106,-22.12,75,200,0.2042,0,3
107,-33.48,143,200,0.3037,0,4
108,-4.55,84,153,0.1649,1,1
109,-29.53,72,200,0.2656,0,1
110,-16.00,200,200,0.2130,0,4
111,-20.12,58,200,0.1805,0,2
112,-27.65,46,200,0.2880,0,1
113,-17.00,200,200,0.2185,0,2
114,-15.16,48,186,0.2541,1,1
115,4.63,34,36,0.1053,1,1
116,-39.43,18,200,0.2500,0,0
117,-38.88,13,200,0.3175,0,2
118,-30.60,200,200,0.2562,0,3
119,-19.25,154,200,0.2035,0,2
120,-30.00,200,200,0.2906,0,2
121,-16.10,103,200,0.1833,0,2
122,-24.52,55,200,0.5366,0,5
123,-21.27,67,200,0.2735,0,2
124,-18.22,21,200,0.1908,0,2
125,-22.05,35,200,0.2197,0,3
126,-18.81,63,200,0.2042,0,2
127,-10.87,27,200,0.1894,0,2
128,-16.49,64,200,0.2969,0,2
129,-10.00,200,200,0.0000,0,6
130,-21.92,27,200,0.2348,0,2
131,-25.08,17,200,0.1371,0,2
132,-13.73,47,200,0.2154,0,2
133,-11.71,101,200,0.1927,0,3
134,-13.88,53,200,0.1181,0,2
135,-25.00,200,200,0.2645,0,1
136,-21.52,100,200,0.1842,0,3
137,-13.72,28,200,0.2121,0,2
138,-2.81,14,144,0.1772,1,1
139,-13.51,40,200,0.2121,0,4
140,-17.11,53,200,0.1765,0,4
141,-22.00,200,200,0.2056,0,4
142,-20.12,73,200,0.2600,0,5
143,-2.21,8,134,0.1889,1,1
144,-16.54,7,200,0.1818,0,1
145,-18.24,15,200,0.1418,0,2
146,-15.79,15,200,0.1855,0,2
147,-8.12,13,200,1.0000,0,7
148,-14.80,48,200,0.2016,0,4
149,-10.53,87,200,0.1622,0,2
150,-14.33,25,200,0.1971,0,3
151,-12.72,21,200,0.1311,0,1
152,-22.87,150,200,0.3254,0,2
153,-19.77,18,200,0.1778,0,3
154,-12.53,24,200,0.2240,0,1
155,-12.71,100,200,0.1496,0,2
156,-17.48,68,200,0.2190,0,2
157,-12.56,11,200,0.1475,0,1
158,-6.64,8,200,0.3000,0,4
159,7.51,11,13,0.5556,1,1
160,5.70,24,159,0.2283,1,1
161,-13.58,48,200,0.2281,0,1
162,-8.54,7,200,0.0769,0,6
163,-17.98,83,200,0.1761,0,4
164,-17.87,12,200,0.1290,0,1
165,-15.27,52,200,0.1754,0,1
166,-19.12,54,200,0.1759,0,2
167,-24.12,193,200,0.3431,0,1
168,-12.68,5,200,0.1642,0,1
169,-16.24,40,200,0.2000,0,1
170,-7.46,44,200,0.1163,0,2
171,-11.52,32,200,0.1333,0,5
172,-18.00,200,200,0.1583,0,2
173,-21.13,22,200,0.1679,0,1
174,-15.32,73,200,0.1680,0,1
175,-11.52,106,200,0.1795,0,2
176,-9.70,107,200,0.1475,0,1
177,-12.08,48,200,0.1704,0,1
178,-0.62,136,136,0.2043,1,1
179,-14.87,13,200,0.3529,0,7
180,-18.04,10,200,0.1825,0,1
181,-9.78,29,200,0.1515,0,3
182,-19.33,5,200,0.2370,0,1
183,-18.76,30,200,0.1417,0,1
184,-14.08,16,200,0.1591,0,1
185,-14.44,19,200,0.1805,0,2
186,-16.00,19,200,0.1890,0,1
187,-15.87,36,200,0.1308,0,1
188,-15.64,24,200,0.1622,0,2
189,-15.68,14,200,0.1150,0,2
190,-13.33,13,200,0.1920,0,3
191,-17.57,13,200,0.1181,0,1
192,-15.87,24,200,0.2109,0,3
193,-14.52,127,200,0.1508,0,2
194,-16.87,35,200,0.2903,0,5
195,-14.52,58,200,0.1811,0,2
196,-9.12,17,200,0.2632,0,6
197,-14.12,53,200,0.1791,0,2
198,-18.13,21,200,0.1860,0,3
199,-12.66,112,200,0.1524,0,2
200,-15.26,16,200,0.2114,0,0
201,-10.00,200,200,0.1250,0,5
202,-18.06,12,200,0.1803,0,3
203,-12.82,13,200,0.1374,0,1
204,-11.12,54,200,0.2500,0,4
205,-15.12,153,200,0.2277,0,2
206,-11.92,7,200,0.1210,0,3
207,-11.71,33,200,0.1399,0,3
208,-11.45,46,200,0.1481,0,2
209,-10.82,43,200,0.1746,0,2
210,-17.76,73,200,0.1756,0,3
211,-17.24,97,200,0.1953,0,2
212,-10.74,12,200,0.1489,0,1
213,-23.20,67,200,0.2154,0,1
214,-9.12,42,200,0.1880,0,1
215,-13.37,81,200,0.2049,0,2
216,-7.09,123,200,0.1981,0,1
217,-17.08,38,200,0.2315,0,3
218,-15.00,200,200,0.1513,0,4
219,-15.50,51,200,0.1322,0,1
220,-21.12,101,200,0.1235,0,5
221,-13.12,117,200,0.1417,0,4
222,-17.34,84,200,0.2137,0,1
223,-10.12,24,200,0.1538,0,6
224,-11.14,31,200,0.1935,0,1
225,-11.51,19,200,0.1203,0,2
226,-8.03,21,153,0.1474,1,1
227,-10.45,125,200,0.2030,0,1
228,10.48,10,20,0.0000,1,2
229,-11.33,38,200,0.1719,0,0
230,-5.63,59,179,0.1475,1,1
231,-3.95,57,171,0.1613,1,1
232,-10.11,28,200,0.1527,0,1
233,-16.12,63,200,0.0213,0,8
234,-5.44,35,200,0.1250,0,2
235,-12.51,38,200,0.2097,0,0
236,-12.49,10,200,0.2263,0,1
237,-10.87,28,200,0.0833,0,4
238,-5.63,23,200,0.1774,0,3
239,-14.12,64,200,0.1304,0,4
240,-10.91,39,200,0.1786,0,0
241,6.01,7,141,0.2255,1,1
242,-9.12,11,200,0.1250,0,3
243,3.03,14,140,0.1209,1,1
244,7.91,21,62,0.1765,1,1
245,-7.14,8,200,0.2033,0,1
246,-11.49,53,200,0.1765,0,1
247,-8.64,87,200,0.1696,0,1
248,-7.52,44,200,0.1374,0,2
249,-6.73,36,200,0.1985,0,2
250,-14.39,5,200,0.1071,0,2
251,-6.68,14,200,0.2117,0,2
252,-8.65,17,200,0.1360,0,2
253,-10.52,34,200,0.0811,0,7
254,-0.47,25,153,0.1638,1,1
255,-12.56,17,200,0.1626,0,1
256,1.27,49,163,0.2041,1,1
257,-17.56,25,200,0.2137,0,6
258,-10.21,10,200,0.2857,0,7
259,-17.33,19,200,0.1949,0,1
260,-7.92,13,200,0.1053,0,8
261,-9.94,15,200,0.1338,0,1
262,-11.12,77,200,0.1290,0,1
263,-4.12,102,200,0.1707,0,3
264,-8.87,7,200,0.0000,0,7
265,-5.04,14,200,0.1194,0,2
266,-11.62,13,200,0.2000,0,1
267,-12.12,70,200,0.1071,0,5
268,-0.18,25,167,0.0833,1,2
269,6.79,23,93,0.1429,1,1
270,-11.61,65,200,0.2444,0,2
271,-3.55,13,200,0.1351,0,0
272,-6.42,9,200,0.1810,0,1
273,-0.75,16,131,0.1596,1,1
274,-17.63,18,200,0.2063,0,3
275,-0.62,107,110,0.1587,1,1
276,-9.13,25,200,0.2063,0,2
277,-14.98,13,200,0.2276,0,1
278,-8.49,20,200,0.1293,0,3
279,-13.30,18,200,0.1048,0,2
280,-11.00,200,200,0.3000,0,6
281,-11.72,15,200,0.2460,0,1
282,4.63,32,104,0.1207,1,1
283,6.38,43,44,0.0870,1,1
284,-6.77,12,200,0.1481,0,1
285,-18.90,67,200,0.2261,0,1
286,-12.24,41,200,0.0811,0,6
287,3.36,9,127,0.1972,1,1
288,-11.62,68,200,0.1811,0,1
289,-0.79,27,191,0.1508,1,1
290,1.62,72,97,0.0952,1,1
291,-14.03,21,200,0.2963,0,2
292,-7.36,6,200,0.1852,0,1
293,-18.51,18,200,0.1364,0,0
294,-12.44,45,200,0.2500,0,4
295,-7.28,17,200,0.1418,0,1
296,-10.00,200,200,0.1172,0,2
297,9.36,23,68,0.1429,1,1
298,-10.09,20,200,0.1653,0,0
299,-6.52,6,200,0.1610,0,0
300,-10.58,8,200,0.1440,0,1
301,-5.33,5,200,0.1652,0,0
302,-8.87,75,200,0.1513,0,1
303,2.41,26,124,0.1899,1,1
304,-20.12,56,200,0.2500,0,3
305,9.38,17,18,0.0769,1,1
306,6.50,9,124,0.1750,1,1
307,-8.10,26,200,0.1875,0,1
308,-4.56,7,183,0.1466,1,1
309,-7.14,11,200,0.1450,0,2
310,-11.72,38,200,0.1953,0,4
311,-11.21,22,200,0.1460,0,2
312,2.40,14,65,0.3056,1,1
313,6.77,26,112,0.1831,1,2
314,2.48,13,125,0.0633,1,1
315,-12.09,15,200,0.1520,0,1
316,-5.87,52,200,0.1349,0,1
317,-9.39,29,200,0.1786,0,3
318,-5.33,19,117,0.2703,1,1
319,-10.44,20,200,0.1722,0,0
320,-10.12,9,200,0.0000,0,8
321,-6.28,10,200,0.1250,0,1
322,-12.00,200,200,0.2143,0,5
323,-13.84,5,200,0.1846,0,2
324,-9.04,122,200,0.1500,0,1
325,7.74,25,115,0.1463,1,1
326,-5.96,59,200,0.1515,0,1
327,4.42,22,77,0.1346,1,1
328,0.63,38,134,0.2405,1,1
